,Company,Role,Location,Date
22,MyYogaTeacher,Sr. Data Analyst,"Bengaluru North, Karnataka, India",5 months ago
23,Genpact,Analyst - MCM & Digital. Analytics-ANA009609,"Bengaluru, Karnataka, India",1 day ago
24,Puffy,Senior Data Analyst (Get a 30% salary increase & Pay 0% Tax),"Bengaluru, Karnataka, India",1 month ago
25,Thomson Reuters,Data Analyst,"Bengaluru, Karnataka, India",2 weeks ago
26,Jupiter,Data Analyst III,"Bengaluru, Karnataka, India",3 days ago
27,Awign,Data Analyst,"Bengaluru North, Karnataka, India",6 months ago
28,Genpact,Business Analyst - Data Analyst-ANA008094,"Bengaluru, Karnataka, India",2 weeks ago
29,Genpact,Business Analyst - Data Analyst-ANA007931,"Bengaluru, Karnataka, India",5 days ago
30,Ai Palette,Data Analyst,"Bengaluru, Karnataka, India",1 month ago
31,Onx Homes,ZOHO Data Analyst,"Bengaluru, Karnataka, India",3 months ago
32,twid,Data Analyst,"Bengaluru, Karnataka, India",1 week ago
33,Novo,Staff Data Analyst,"Bengaluru, Karnataka, India",2 days ago
34,Sizzle,Data Annotation Analyst,"Bengaluru North, Karnataka, India",6 months ago
35,"Arena Investors, LP",SQL Developer - Technology,"Bengaluru, Karnataka, India",2 months ago
36,Genpact,Business Analyst - Data Science-ANA003055,"Bengaluru, Karnataka, India",1 week ago
37,Teamfocus Human Capital Pvt Ltd.,Data & Analytics Lead,"Bangalore Urban, Karnataka, India",4 days ago
38,Genpact,Lead Consultant - Data Analyst-ITO071171,"Bengaluru, Karnataka, India",5 days ago
39,Cyware,Data Engineer,"Bengaluru, Karnataka, India",2 weeks ago
40,Genpact,Business Analyst - Data Science-ANA003052,"Bengaluru, Karnataka, India",2 weeks ago
41,Genpact,Consultant - Data Analytics-CPG045149,"Bengaluru, Karnataka, India",1 week ago
42,Busigence,Aspirant - Data Science & AI,"Bengaluru North, Karnataka, India",6 months ago
43,Puffy,Senior Data Analyst (Get a 30% salary increase & Pay 0% Tax),"Bengaluru, Karnataka, India",1 month ago
44,Global Talent Exchange,SQL Developer - Return to India,"Bengaluru, Karnataka, India",5 months ago
45,Fi,Data Operations,"Bengaluru, Karnataka, India",2 weeks ago
46,Computer Ease Limited,Senior Data Analyst,"Bengaluru, Karnataka, India",1 week ago
47,MyYogaTeacher,Sr. Data Analyst,"Bengaluru North, Karnataka, India",5 months ago
48,Genpact,Analyst - MCM & Digital. Analytics-ANA009609,"Bengaluru, Karnataka, India",1 day ago
49,Puffy,Senior Data Analyst (Get a 30% salary increase & Pay 0% Tax),"Bengaluru, Karnataka, India",1 month ago
50,Awign,Data Analyst,"Bengaluru North, Karnataka, India",6 months ago
51,Ai Palette,Data Analyst,"Bengaluru, Karnataka, India",1 month ago
52,Onx Homes,ZOHO Data Analyst,"Bengaluru, Karnataka, India",3 months ago
53,twid,Data Analyst,"Bengaluru, Karnataka, India",1 week ago
54,Novo,Staff Data Analyst,"Bengaluru, Karnataka, India",2 days ago
55,Sizzle,Data Annotation Analyst,"Bengaluru North, Karnataka, India",6 months ago
56,"Arena Investors, LP",SQL Developer - Technology,"Bengaluru, Karnataka, India",2 months ago
57,Teamfocus Human Capital Pvt Ltd.,Data & Analytics Lead,"Bangalore Urban, Karnataka, India",4 days ago
58,Genpact,Lead Consultant - Data Analyst-ITO071171,"Bengaluru, Karnataka, India",5 days ago
59,Genpact,Consultant - Data Analytics-CPG045149,"Bengaluru, Karnataka, India",1 week ago
60,Busigence,Aspirant - Data Science & AI,"Bengaluru North, Karnataka, India",6 months ago
61,Puffy,Senior Data Analyst (Get a 30% salary increase & Pay 0% Tax),"Bengaluru, Karnataka, India",1 month ago
62,Global Talent Exchange,SQL Developer - Return to India,"Bengaluru, Karnataka, India",5 months ago
63,Fi,Data Operations,"Bengaluru, Karnataka, India",2 weeks ago
64,Computer Ease Limited,Senior Data Analyst,"Bengaluru, Karnataka, India",1 week ago
65,MyYogaTeacher,Sr. Data Analyst,"Bengaluru North, Karnataka, India",5 months ago
66,Genpact,Analyst - MCM & Digital. Analytics-ANA009609,"Bengaluru, Karnataka, India",1 day ago
67,Puffy,Senior Data Analyst (Get a 30% salary increase & Pay 0% Tax),"Bengaluru, Karnataka, India",1 month ago
68,Epsilon India,Lead Data Engineer,"Bengaluru, Karnataka, India",1 week ago
69,DKI Health,Database Developer,"Bengaluru, Karnataka, India",1 week ago
70,XU Lifestyle,Power BI Developer,"Bengaluru, Karnataka, India",5 months ago
71,Global Talent Exchange,MySQL Developer - Return to India,"Bengaluru, Karnataka, India",1 week ago
72,Genpact,Assistant Manager - Data-ANA009534,"Bengaluru, Karnataka, India",3 weeks ago
73,MAYA,Software Development Interns (Freshers/Juniors),"Bengaluru, Karnataka, India",5 days ago
74,Thomson Reuters,Data Analyst,"Bengaluru, Karnataka, India",2 weeks ago
75,Jupiter,Data Analyst III,"Bengaluru, Karnataka, India",3 days ago
76,Awign,Data Analyst,"Bengaluru North, Karnataka, India",6 months ago
77,Genpact,Business Analyst - Data Analyst-ANA008094,"Bengaluru, Karnataka, India",2 weeks ago
78,Genpact,Business Analyst - Data Analyst-ANA007931,"Bengaluru, Karnataka, India",5 days ago
79,Ai Palette,Data Analyst,"Bengaluru, Karnataka, India",1 month ago
80,Onx Homes,ZOHO Data Analyst,"Bengaluru, Karnataka, India",3 months ago
81,twid,Data Analyst,"Bengaluru, Karnataka, India",1 week ago
82,Novo,Staff Data Analyst,"Bengaluru, Karnataka, India",2 days ago
83,Sizzle,Data Annotation Analyst,"Bengaluru North, Karnataka, India",6 months ago
84,"Arena Investors, LP",SQL Developer - Technology,"Bengaluru, Karnataka, India",2 months ago
85,Genpact,Business Analyst - Data Science-ANA003055,"Bengaluru, Karnataka, India",1 week ago
86,Teamfocus Human Capital Pvt Ltd.,Data & Analytics Lead,"Bangalore Urban, Karnataka, India",4 days ago
87,Genpact,Lead Consultant - Data Analyst-ITO071171,"Bengaluru, Karnataka, India",5 days ago
88,Cyware,Data Engineer,"Bengaluru, Karnataka, India",2 weeks ago
89,Genpact,Business Analyst - Data Science-ANA003052,"Bengaluru, Karnataka, India",2 weeks ago
90,Genpact,Consultant - Data Analytics-CPG045149,"Bengaluru, Karnataka, India",1 week ago
91,Busigence,Aspirant - Data Science & AI,"Bengaluru North, Karnataka, India",6 months ago
92,Puffy,Senior Data Analyst (Get a 30% salary increase & Pay 0% Tax),"Bengaluru, Karnataka, India",1 month ago
93,Global Talent Exchange,SQL Developer - Return to India,"Bengaluru, Karnataka, India",5 months ago
94,Fi,Data Operations,"Bengaluru, Karnataka, India",2 weeks ago
95,Computer Ease Limited,Senior Data Analyst,"Bengaluru, Karnataka, India",1 week ago
96,MyYogaTeacher,Sr. Data Analyst,"Bengaluru North, Karnataka, India",5 months ago
97,Genpact,Analyst - MCM & Digital. Analytics-ANA009609,"Bengaluru, Karnataka, India",1 day ago
98,Puffy,Senior Data Analyst (Get a 30% salary increase & Pay 0% Tax),"Bengaluru, Karnataka, India",1 month ago
99,Thomson Reuters,Data Analyst,"Bengaluru, Karnataka, India",2 weeks ago
100,Jupiter,Data Analyst III,"Bengaluru, Karnataka, India",3 days ago
101,Awign,Data Analyst,"Bengaluru North, Karnataka, India",6 months ago
102,Genpact,Business Analyst - Data Analyst-ANA008094,"Bengaluru, Karnataka, India",2 weeks ago
103,Genpact,Business Analyst - Data Analyst-ANA007931,"Bengaluru, Karnataka, India",5 days ago
104,Ai Palette,Data Analyst,"Bengaluru, Karnataka, India",1 month ago
105,Onx Homes,ZOHO Data Analyst,"Bengaluru, Karnataka, India",3 months ago
106,twid,Data Analyst,"Bengaluru, Karnataka, India",1 week ago
107,Novo,Staff Data Analyst,"Bengaluru, Karnataka, India",2 days ago
108,Sizzle,Data Annotation Analyst,"Bengaluru North, Karnataka, India",6 months ago
